日期,新增确诊,新增重症,新增死亡,新增疑似,新增治愈,解除观察,现有确诊,累计确诊,累计治愈,累计死亡,现有疑似,密切接触,医学观察
2020-02-28,427,-288,47,248,2885,10193,37414,79251,39002,2835,1418,658587,58233
2020-02-27,327,-394,44,452,3622,10525,39919,78824,36117,2788,2308,656054,65225
2020-02-26,433,-406,29,508,2750,12823,43258,78497,32495,2744,2358,652174,71572
2020-02-25,406,-374,52,439,2422,14573,45604,78064,29745,2715,2491,647406,79108
2020-02-24,508,-789,71,530,2589,15758,47672,77658,27323,2663,2824,641742,87902
2020-02-23,409,-1053,150,620,1846,16758,49824,77150,24734,2592,3434,635531,97481
2020-02-22,648,-509,97,882,2230,22128,51606,76936,22888,2442,4148,628517,106089
2020-02-21,397,-156,109,1361,2393,26441,53284,76288,20659,2345,5365,618915,113564
2020-02-20,889,-231,118,1614,2109,28804,54965,75465,18264,2236,5206,606037,120302
2020-02-19,394,-113,114,1277,1779,25318,56303,74576,16155,2118,4922,589163,126363
2020-02-18,1749,236,136,1185,1824,25014,57805,74185,14376,2004,5248,574418,135881
2020-02-17,1886,1097,98,1432,1701,27908,58016,72436,12552,1868,6242,560901,141552
2020-02-16,2048,0,105,1563,1425,28179,57934,70548,10844,1770,7264,546016,150539
2020-02-15,2009,219,142,1918,1323,29788,57416,68500,9419,1665,8228,529418,158764
2020-02-14,2641,849,143,2277,1373,30081,56873,66492,8096,1523,8969,513183,169039
2020-02-13,5090,2174,121,2450,1081,26905,55748,63851,6723,1380,10109,493067,177984
2020-02-12,15152,-174,254,2807,1171,29429,52526,59804,5911,1367,13435,471531,181386
2020-02-11,2015,871,97,3342,744,30068,38800,44653,4740,1113,16067,451462,185037
2020-02-10,2478,849,108,3536,716,26724,37626,42638,3996,1016,21675,428438,187728
2020-02-09,3062,296,97,4008,632,29307,35982,40171,3281,908,23589,399487,187518
2020-02-08,2656,87,89,3916,600,31124,33738,37198,2649,811,28942,371905,188183
2020-02-07,3399,1280,86,4214,510,26702,31774,34546,2050,722,27657,345498,189660
2020-02-06,3143,962,73,4833,387,26762,28985,31161,1540,636,26359,314028,186045
2020-02-05,3694,640,73,5328,261,21365,-1,28018,1153,563,24702,282813,186354
2020-02-04,3887,431,65,3971,262,18457,-1,24324,892,490,23260,252154,185555
2020-02-03,3235,492,64,5072,157,12755,-1,20438,632,425,23214,221015,171329
2020-02-02,2829,186,57,5173,147,10055,-1,17205,475,361,21558,189583,152700
2020-02-01,2590,315,45,4562,85,8044,-1,14380,328,304,19544,163844,137594
2020-01-31,2102,268,46,5019,72,6509,-1,11791,243,259,17988,136987,118478
2020-01-30,1982,157,43,4812,47,4201,-1,9692,171,213,15238,113579,102427
2020-01-29,1737,131,38,4148,21,2364,-1,7711,124,170,12167,88693,81947
2020-01-28,1459,263,26,3248,43,1604,-1,5974,103,132,9239,65537,59990
2020-01-27,1771,515,26,2077,9,914,-1,4515,60,106,6973,47833,44132
2020-01-26,769,137,24,3806,2,583,-1,2744,51,80,5794,32799,30453
2020-01-25,688,87,15,1309,11,325,-1,1975,49,56,2684,23431,21556
2020-01-24,444,-1,16,1118,3,1230,-1,1287,38,41,1965,15197,13967
2020-01-23,259,-1,8,680,6,1087,-1,830,34,25,1072,9507,8420
2020-01-22,131,-1,8,257,-1,969,-1,571,-1,17,393,5897,4928
