省份,城市,确诊,疑似,治愈,死亡
湖北省,武汉,13603,0,747,545
湖北省,孝感,2313,0,38,26
湖北省,黄冈,2041,0,105,36
湖北省,随州,953,0,23,9
湖北省,荆州,941,0,31,11
湖北省,襄阳,907,0,34,5
湖北省,黄石,703,0,48,2
湖北省,宜昌,633,0,25,8
湖北省,荆门,588,0,36,18
湖北省,鄂州,569,0,33,20
湖北省,咸宁,476,0,16,2
湖北省,十堰,438,0,33,0
湖北省,仙桃,359,0,14,5
湖北省,天门,179,0,1,10
湖北省,恩施州,160,0,17,0
湖北省,潜江,80,0,1,2
湖北省,神农架林区,10,0,2,0
广东省,深圳,354,0,39,0
广东省,广州,301,0,27,0
广东省,珠海,83,0,4,0
广东省,佛山,64,0,4,0
广东省,东莞,56,0,1,0
广东省,惠州,47,0,1,0
广东省,中山,46,0,11,0
广东省,汕头,25,0,3,0
广东省,湛江,20,0,6,0
广东省,江门,15,0,1,0
广东省,肇庆,14,0,1,1
广东省,阳江,13,0,1,0
广东省,梅州,13,0,4,0
广东省,清远,10,0,3,0
广东省,茂名,8,0,1,0
广东省,揭阳,7,0,1,0
广东省,韶关,6,0,1,0
广东省,汕尾,5,0,1,0
广东省,潮州,5,0,0,0
广东省,河源,3,0,0,0
广东省,待明确地区,0,0,3,0
浙江省,温州,438,0,70,0
浙江省,杭州,162,0,22,0
浙江省,宁波,141,0,12,0
浙江省,台州,133,0,25,0
浙江省,金华,52,0,13,0
浙江省,嘉兴,37,0,1,0
浙江省,绍兴,36,0,5,0
浙江省,丽水,17,0,3,0
浙江省,衢州,15,0,3,0
浙江省,湖州,10,0,1,0
浙江省,舟山,7,0,5,0
浙江省,待明确地区,0,0,13,0
河南省,信阳,192,0,24,0
河南省,南阳,128,0,12,2
河南省,郑州,120,0,28,0
河南省,驻马店,113,0,5,0
河南省,商丘,76,0,5,0
河南省,周口,62,0,10,0
河南省,平顶山,48,0,1,1
河南省,新乡,43,0,4,0
河南省,安阳,43,0,2,0
河南省,许昌,30,0,2,0
河南省,漯河,29,0,4,0
河南省,洛阳,25,0,2,0
河南省,开封,21,0,1,0
河南省,焦作,20,0,1,0
河南省,鹤壁,13,0,0,0
河南省,三门峡,7,0,3,0
河南省,濮阳,7,0,0,0
河南省,济源,4,0,0,0
河南省,待明确地区,0,0,1,1
湖南省,长沙,196,0,27,0
湖南省,岳阳,111,0,6,1
湖南省,邵阳,86,0,12,0
湖南省,常德,66,0,14,0
湖南省,娄底,59,0,4,0
湖南省,株洲,48,0,8,0
湖南省,益阳,44,0,10,0
湖南省,衡阳,43,0,11,0
湖南省,永州,40,0,10,0
湖南省,怀化,38,0,14,0
湖南省,郴州,31,0,8,0
