省份,确诊,疑似,治愈,死亡
湖北省,64084,0,15343,2346
广东省,1342,0,755,6
浙江省,1205,0,759,1
山东省,754,0,321,4
河南省,1271,0,868,19
安徽省,989,0,637,6
江西省,934,0,613,1
湖南省,1016,0,714,4
四川省,526,0,261,3
黑龙江省,480,0,218,12
重庆市,573,0,328,6
江苏省,631,0,418,0
北京市,399,0,189,4
广西壮族自治区,249,0,106,2
福建省,293,0,170,1
河北省,311,0,219,6
上海市,335,0,249,3
陕西省,245,0,163,1
香港,74,0,11,2
海南省,168,0,106,4
云南省,174,0,115,2
天津市,135,0,81,3
新疆维吾尔自治区,76,0,25,2
内蒙古自治区,75,0,27,0
辽宁省,121,0,73,1
山西省,132,0,89,0
贵州省,146,0,102,2
吉林省,91,0,54,1
台湾,28,0,2,1
宁夏回族自治区,71,0,56,0
甘肃省,91,0,78,2
澳门,10,0,6,0
青海省,18,0,18,0
西藏自治区,1,0,1,0
